year,Coal,Gas,Wind,Solar,Nuclear
2020.0,75896.06395604396,158606.8897802198,37935.790109890106,6472.966923076923,90485.35912087912
2021.0,106850.15588888888,145299.97677777777,45150.81288888889,8645.266555555556,92254.14233333332
2022.0,102101.27,150793.82177777778,55295.810666666664,11713.396777777778,89969.73755555555
2023.0,75056.3111111111,168022.86666666667,57392.75555555556,11964.211111111112,89751.76666666666
2024.0,74153.67032967033,179115.2967032967,55811.52747252747,16214.42857142857,90601.08791208791
2025.0,91040.1888888889,176195.7,60980.72222222222,23513.51111111111,91114.07777777778
