Year,DC
2013,
2014,64.21369260431692
2015,67.54590764139657
2016,69.78465527309298
2017,74.5000090660245
2018,84.05681035309453
2019,94.88379774515968
2020,109.21209515130884
2021,144.7706160921184
2022,184.07687907650865
2023,118.40798731701128
2024,146.48051259157586
2025,180.02514478087537
2026,213.9654136777885
2027,244.1304352396481
2028,274.5206300680469
2029,301.0360914259202
2030,326.6436249684717
