Year,DC_Mean,DC_Upper,DC_Lower,Coal,Natural_Gas,Nuclear,Hydro,Solar,Total_Demand,DC_Share,LBNL_historical,LBNL_low,LBNL_high,IEA_x,BCG_low,BCG_x,EPRI_historical,EPRI_low,EPRI_moderate,EPRI_high,EPRI_higher,Jeffries_x,Goldman_Sachs,IEA_2025,BNEF_x,LBNL_low.1,LBNL_high.1,IEA_y,IEA_y.1,BCG_low.1,BCG_y,EPRI_low.1,EPRI_moderate.1,EPRI_high.1,EPRI_higher.1,Jeffries_y,Goldman_Sachs.1,BNEF_y
2013,,,,,1581.115,1124.836,789.016,268.565,9.036,4065.964,,,,,,,,,,,,,,,
2014,64.2136926,70.63506186,57.79232334,1581.710,1126.635,797.166,259.367,28.924,4093.564,1.568468342929101,64.21,,,,,,28.51,,,,,,,,,,,,,,28.507221076149506
2015,67.54590764,74.300498404,60.791316876,1352.398,1334.668,797.178,249.080,39.032,4078.714,1.6565661357494964,67.55,,,,,,32.75,,,,,,,,,,,,,,32.749439857026594
2016,73.13771956,80.451491516,65.823947604,1239.149,1379.271,805.694,267.812,54.866,4077.574,1.793135709227172,69.78,,,,75.1,74.53,,37.44,,,,,,,,,,,,75.09500588757864,74.5334975131758,37.43672886453061
2017,76.85168398,84.536852378,69.166515582,1205.835,1297.703,804.950,300.333,77.277,4035.443,1.9043885897268285,74.5,,,,81.66,74.4,,44.29,,,,,,,,,,,,81.65723755360979,74.39780532458424,44.28993668902363
2018,86.16015973,94.776175703,77.544143757,1149.487,1471.843,807.084,292.524,93.365,4180.988,2.0611806286555364,84.06,,,,100.49,73.93,,48.9,,,,,,,,,,,,100.4910837798497,73.93258506817037,48.90346195877952
2019,88.842552,97.7268072,79.9582968,964.957,1588.533,809.409,287.874,106.894,4130.574,2.1510682509765864,94.88,,,,96.52,75.12,,55.65,,,,,,,,,,,,96.52064290228512,75.12321536249995,55.64739765810032
2020,100.5239199,110.57631189,90.47152791,773.393,1626.790,789.879,285.274,130.721,4009.767,2.5069768471491596,109.21,,,84.78,,119.26,75.33,,114.04,69.01,,,,,,,,,114.0410115865522,,,,,,,119.25752328558254,75.33172573574024,69.01459792651428
2021,123.6475486,136.01230346,111.28279374,897.999,1579.190,779.645,251.585,164.422,4109.699,3.008087395058165,144.77,,,130.3,,90.21,,129.3,85.15,,,,,,,,,,129.30343397039425,,,,,,,130.3033677790597,90.21277665739036,85.15301373925689
2022,164.1057528,180.51632808,147.69517752,831.512,1687.065,771.537,254.789,205.074,4230.668,3.878260944012104,184.08,184.08,184.08,199.47,,144.8,107.73,,144.51,102.5,,,,,,184.07687907650865,184.07687907650865,199.4652982868608,144.51142896455673,,,,,,,144.80017393744254,107.73273102212812,102.50487293474144
2023,167.145107,183.8596177,150.4305963,675.115,1806.063,774.873,245.002,238.937,4183.271,3.99518945388452,119.7,,196.82,128.42,151.54,164.48,118.41,,,,,,,,194.6162043129649,214.4448902341712,,164.48010181339797,,,,,,,196.8195932030624,128.41595222222094,118.40798731701128
2024,233.0413689,256.34550579,209.73723201,1.46,65.76,18.62,1.49,1.49,4350,5.356347905517266,329.24,329.52,119.6,,252.38,149.95,182.34,284.52,194.68,146.48,,,,,,224.07189491842547,264.1091805246922,,194.6847642092125,329.24399815568563,329.5229435113226,,,,,252.3828136400797,149.94805578777496,146.48051259157586
2025,256.3662458,282.00287038,230.72962122,1.46,65.76,18.62,1.49,1.49,4375,5.862485536,254.07,324.13,,353.99,404.45,164.91,167.64,175.04,183.08,285.57,180.72,228.46,180.03,,254.06967993572223,324.13302438999625,,263.9155314930144,353.98552742438505,404.4544648312504,164.91470271367243,167.63945801075255,175.04144014146954,183.07970351984665,285.5653307429501,180.7212200358121,180.02514478087537
